# 16385 samples -> 666 bus cycles
  7329 M1     a=40A5 d=6F slot=D4 n=15
  7359 M1     a=40A6 d=D0 slot=D4 n=15
  7395 MR     a=F0CA d=7C slot=D4 n=12
  7413 MR     a=F0CB d=48 slot=D4 n=12
  7431 M1     a=487C d=7E slot=D4 n=15
  7461 MR     a=8CC4 d=EC slot=D4 n=12
  7479 M1     a=487D d=23 slot=D4 n=15
  7521 M1     a=487E d=66 slot=D4 n=15
  7551 MR     a=8CC5 d=8C slot=D4 n=12
  7569 M1     a=487F d=6F slot=D4 n=15
  7599 M1     a=4880 d=C9 slot=D4 n=15
  7629 MR     a=F0CC d=5A slot=D4 n=12
  7647 MR     a=F0CD d=8C slot=D4 n=12
  7665 M1     a=8C5A d=E5 slot=D4 n=15
  7707 MW     a=F0CD d=8C slot=D4 n=6
  7725 MW     a=F0CC d=EC slot=D4 n=6
  7737 M1     a=8C5B d=01 slot=D4 n=15
  7767 MR     a=8C5C d=10 slot=D4 n=12
  7785 MR     a=8C5D d=00 slot=D4 n=12
  7803 M1     a=8C5E d=11 slot=D4 n=15
  7833 MR     a=8C5F d=18 slot=D4 n=12
  7851 MR     a=8C60 d=E6 slot=D4 n=12
  7869 M1     a=8C61 d=ED slot=D4 n=15
  7899 M1     a=8C62 d=B0 slot=D4 n=15
  7929 MR     a=8CEC d=E3 slot=D4 n=12
  7953 MW     a=E618 d=E3 slot=D4 n=6
  8007 M1     a=8C61 d=ED slot=D4 n=15
  8037 M1     a=8C62 d=B0 slot=D4 n=15
  8067 MR     a=8CED d=F8 slot=D4 n=12
  8091 MW     a=E619 d=F8 slot=D4 n=6
  8145 M1     a=8C61 d=ED slot=D4 n=15
  8175 M1     a=8C62 d=B0 slot=D4 n=15
  8205 MR     a=8CEE d=00 slot=D4 n=12
  8229 MW     a=E61A d=00 slot=D4 n=6
  8283 M1     a=8C61 d=ED slot=D4 n=15
  8313 M1     a=8C62 d=B0 slot=D4 n=15
  8343 MR     a=8CEF d=0D slot=D4 n=12
  8367 MW     a=E61B d=0D slot=D4 n=6
  8421 M1     a=8C61 d=ED slot=D4 n=15
  8451 M1     a=8C62 d=B0 slot=D4 n=15
  8481 MR     a=8CF0 d=E3 slot=D4 n=12
  8505 MW     a=E61C d=E3 slot=D4 n=6
  8559 M1     a=8C61 d=ED slot=D4 n=15
  8589 M1     a=8C62 d=B0 slot=D4 n=15
  8619 MR     a=8CF1 d=F8 slot=D4 n=12
  8643 MW     a=E61D d=F8 slot=D4 n=6
  8697 M1     a=8C61 d=ED slot=D4 n=15
  8727 M1     a=8C62 d=B0 slot=D4 n=15
  8757 MR     a=8CF2 d=04 slot=D4 n=12
  8781 MW     a=E61E d=04 slot=D4 n=6
  8835 M1     a=8C61 d=ED slot=D4 n=15
  8865 M1     a=8C62 d=B0 slot=D4 n=15
  8895 MR     a=8CF3 d=4E slot=D4 n=12
  8919 MW     a=E61F d=4E slot=D4 n=6
  8973 M1     a=8C61 d=ED slot=D4 n=15
  9003 M1     a=8C62 d=B0 slot=D4 n=15
  9033 MR     a=8CF4 d=F3 slot=D4 n=12
  9057 MW     a=E620 d=F3 slot=D4 n=6
  9111 M1     a=8C61 d=ED slot=D4 n=15
  9141 M1     a=8C62 d=B0 slot=D4 n=15
  9171 MR     a=8CF5 d=F8 slot=D4 n=12
  9195 MW     a=E621 d=F8 slot=D4 n=6
  9249 M1     a=8C61 d=ED slot=D4 n=15
  9279 M1     a=8C62 d=B0 slot=D4 n=15
  9309 MR     a=8CF6 d=08 slot=D4 n=12
  9333 MW     a=E622 d=08 slot=D4 n=6
  9387 M1     a=8C61 d=ED slot=D4 n=15
  9417 M1     a=8C62 d=B0 slot=D4 n=15
  9447 MR     a=8CF7 d=0D slot=D4 n=12
  9471 MW     a=E623 d=0D slot=D4 n=6
  9525 M1     a=8C61 d=ED slot=D4 n=15
  9555 M1     a=8C62 d=B0 slot=D4 n=15
  9585 MR     a=8CF8 d=F3 slot=D4 n=12
  9609 MW     a=E624 d=F3 slot=D4 n=6
  9663 M1     a=8C61 d=ED slot=D4 n=15
  9693 M1     a=8C62 d=B0 slot=D4 n=15
  9723 MR     a=8CF9 d=F8 slot=D4 n=12
  9747 MW     a=E625 d=F8 slot=D4 n=6
  9801 M1     a=8C61 d=ED slot=D4 n=15
  9831 M1     a=8C62 d=B0 slot=D4 n=15
  9861 MR     a=8CFA d=0C slot=D4 n=12
  9885 MW     a=E626 d=0C slot=D4 n=6
  9939 M1     a=8C61 d=ED slot=D4 n=15
  9969 M1     a=8C62 d=B0 slot=D4 n=15
  9999 MR     a=8CFB d=4E slot=D4 n=12
 10023 MW     a=E627 d=4E slot=D4 n=6
 10047 M1     a=8C63 d=E1 slot=D4 n=15
 10077 MR     a=F0CC d=EC slot=D4 n=12
 10095 MR     a=F0CD d=8C slot=D4 n=12
 10113 M1     a=8C64 d=C9 slot=D4 n=15
 10143 MR     a=F0CE d=1C slot=D4 n=12
 10161 MR     a=F0CF d=8C slot=D4 n=12
 10179 M1     a=8C1C d=3A slot=D4 n=15
 10209 MR     a=8C1D d=00 slot=D4 n=12
 10227 MR     a=8C1E d=C8 slot=D4 n=12
 10245 MR     a=C800 d=00 slot=D4 n=12
 10263 M1     a=8C1F d=FE slot=D4 n=15
 10293 MR     a=8C20 d=02 slot=D4 n=12
 10311 M1     a=8C21 d=28 slot=D4 n=15
 10341 MR     a=8C22 d=0C slot=D4 n=12
 10359 M1     a=8C23 d=3A slot=D4 n=15
 10389 MR     a=8C24 d=2C slot=D4 n=12
 10407 MR     a=8C25 d=C8 slot=D4 n=12
 10425 MR     a=C82C d=00 slot=D4 n=12
 10443 M1     a=8C26 d=B7 slot=D4 n=15
 10473 M1     a=8C27 d=20 slot=D4 n=15
 10503 MR     a=8C28 d=0B slot=D4 n=12
 10521 M1     a=8C29 d=3A slot=D4 n=15
 10551 MR     a=8C2A d=49 slot=D4 n=12
 10569 MR     a=8C2B d=C8 slot=D4 n=12
 10587 MR     a=C849 d=00 slot=D4 n=12
 10605 M1     a=8C2C d=B7 slot=D4 n=15
 10635 M1     a=8C2D d=20 slot=D4 n=15
 10665 MR     a=8C2E d=0A slot=D4 n=12
 10683 M1     a=8C2F d=CD slot=D4 n=15
 10713 MR     a=8C30 d=A4 slot=D4 n=12
 10731 MR     a=8C31 d=E7 slot=D4 n=12
 10761 MW     a=F0CF d=8C slot=D4 n=6
 10779 MW     a=F0CE d=32 slot=D4 n=6
 10791 M1     a=E7A4 d=3A slot=D4 n=15
 10821 MR     a=E7A5 d=3A slot=D4 n=12
 10839 MR     a=E7A6 d=3A slot=D4 n=12
 10857 MR     a=3A3A d=5C slot=D4 n=12
 10875 M1     a=E7A7 d=3A slot=D4 n=15
 10905 MR     a=E7A8 d=3A slot=D4 n=12
 10923 MR     a=E7A9 d=3A slot=D4 n=12
 10941 MR     a=3A3A d=5C slot=D4 n=12
 10959 M1     a=E7AA d=3A slot=D4 n=15
