# 16383 samples -> 650 bus cycles
  6237 M1     a=0397 d=57 slot=D4 n=15
  6267 M1     a=0398 d=7B slot=D4 n=15
  6297 M1     a=0399 d=2F slot=D4 n=15
  6327 M1     a=039A d=67 slot=D4 n=15
  6357 M1     a=039B d=3A slot=D4 n=15
  6387 MR     a=039C d=FF slot=D4 n=12
  6405 MR     a=039D d=FF slot=D4 n=12
  6423 MR     a=FFFF d=FF slot=D4 n=12
  6441 M1     a=039E d=2F slot=D4 n=15
  6471 M1     a=039F d=6F slot=D4 n=15
  6501 M1     a=03A0 d=A4 slot=D4 n=15
  6531 M1     a=03A1 d=B2 slot=D4 n=15
  6561 M1     a=03A2 d=32 slot=D4 n=15
  6591 MR     a=03A3 d=FF slot=D4 n=12
  6609 MR     a=03A4 d=FF slot=D4 n=12
  6633 MW     a=FFFF d=01 slot=D4 n=6
  6645 M1     a=03A5 d=78 slot=D4 n=15
  6675 M1     a=03A6 d=D3 slot=D4 n=15
  6705 MR     a=03A7 d=A8 slot=D4 n=12
  6726 IOW    a=D4A8 d=D4 slot=D4 n=15
  6747 M1     a=03A8 d=F1 slot=D4 n=15
  6777 MR     a=F0BA d=94 slot=D4 n=12
  6795 MR     a=F0BB d=87 slot=D4 n=12
  6813 M1     a=03A9 d=E6 slot=D4 n=15
  6843 MR     a=03AA d=03 slot=D4 n=12
  6861 M1     a=03AB d=C9 slot=D4 n=15
  6891 MR     a=F0BC d=FE slot=D4 n=12
  6909 MR     a=F0BD d=02 slot=D4 n=12
  6927 M1     a=02FE d=F5 slot=D4 n=15
  6969 MW     a=F0BD d=03 slot=D4 n=6
  6987 MW     a=F0BC d=14 slot=D4 n=6
  6999 M1     a=02FF d=FD slot=D4 n=15
  7029 M1     a=0300 d=E1 slot=D4 n=15
  7059 MR     a=F0BC d=14 slot=D4 n=12
  7077 MR     a=F0BD d=03 slot=D4 n=12
  7095 M1     a=0301 d=E5 slot=D4 n=15
  7137 MW     a=F0BD d=FC slot=D4 n=6
  7155 MW     a=F0BC d=00 slot=D4 n=6
  7167 M1     a=0302 d=C5 slot=D4 n=15
  7209 MW     a=F0BB d=D4 slot=D4 n=6
  7227 MW     a=F0BA d=C0 slot=D4 n=6
  7239 M1     a=0303 d=4F slot=D4 n=15
  7269 M1     a=0304 d=06 slot=D4 n=15
  7299 MR     a=0305 d=00 slot=D4 n=12
  7317 M1     a=0306 d=7D slot=D4 n=15
  7347 M1     a=0307 d=A4 slot=D4 n=15
  7377 M1     a=0308 d=B2 slot=D4 n=15
  7407 M1     a=0309 d=21 slot=D4 n=15
  7437 MR     a=030A d=C5 slot=D4 n=12
  7455 MR     a=030B d=FC slot=D4 n=12
  7473 M1     a=030C d=09 slot=D4 n=15
  7545 M1     a=030D d=77 slot=D4 n=15
  7581 MW     a=FCC8 d=01 slot=D4 n=6
  7593 M1     a=030E d=E5 slot=D4 n=15
  7635 MW     a=F0B9 d=FC slot=D4 n=6
  7653 MW     a=F0B8 d=C8 slot=D4 n=6
  7665 M1     a=030F d=08 slot=D4 n=15
  7695 M1     a=0310 d=D9 slot=D4 n=15
  7725 M1     a=0311 d=CD slot=D4 n=15
  7755 MR     a=0312 d=17 slot=D4 n=12
  7773 MR     a=0313 d=02 slot=D4 n=12
  7803 MW     a=F0B7 d=03 slot=D4 n=6
  7821 MW     a=F0B6 d=14 slot=D4 n=6
  7833 M1     a=0217 d=C3 slot=D4 n=15
  7863 MR     a=0218 d=D8 slot=D4 n=12
  7881 MR     a=0219 d=02 slot=D4 n=12
  7899 M1     a=02D8 d=D9 slot=D4 n=15
  7929 M1     a=02D9 d=08 slot=D4 n=15
  7959 M1     a=02DA d=FD slot=D4 n=15
  7989 M1     a=02DB d=E5 slot=D4 n=15
  8031 MW     a=F0B5 d=03 slot=D4 n=6
  8049 MW     a=F0B4 d=14 slot=D4 n=6
  8061 M1     a=02DC d=F1 slot=D4 n=15
  8091 MR     a=F0B4 d=14 slot=D4 n=12
