# 16385 samples -> 686 bus cycles
  5826 MR     a=F15B d=98 slot=D4 n=12
  5844 M1     a=0D07 d=C1 slot=D4 n=15
  5874 MR     a=F15C d=10 slot=D4 n=12
  5892 MR     a=F15D d=5F slot=D4 n=12
  5910 M1     a=0D08 d=D1 slot=D4 n=15
  5940 MR     a=F15E d=27 slot=D4 n=12
  5958 MR     a=F15F d=55 slot=D4 n=12
  5976 M1     a=0D09 d=E1 slot=D4 n=15
  6006 MR     a=F160 d=36 slot=D4 n=12
  6024 MR     a=F161 d=55 slot=D4 n=12
  6042 M1     a=0D0A d=08 slot=D4 n=15
  6072 M1     a=0D0B d=D9 slot=D4 n=15
  6102 M1     a=0D0C d=F1 slot=D4 n=15
  6132 MR     a=F162 d=00 slot=D4 n=12
  6150 MR     a=F163 d=01 slot=D4 n=12
  6168 M1     a=0D0D d=C1 slot=D4 n=15
  6198 MR     a=F164 d=00 slot=D4 n=12
  6216 MR     a=F165 d=00 slot=D4 n=12
  6234 M1     a=0D0E d=D1 slot=D4 n=15
  6264 MR     a=F166 d=5C slot=D4 n=12
  6282 MR     a=F167 d=98 slot=D4 n=12
  6300 M1     a=0D0F d=E1 slot=D4 n=15
  6330 MR     a=F168 d=83 slot=D4 n=12
  6348 MR     a=F169 d=01 slot=D4 n=12
  6366 M1     a=0D10 d=FB slot=D4 n=15
  6396 M1     a=0D11 d=C9 slot=D4 n=15
  6426 MR     a=F16A d=79 slot=D4 n=12
  6444 MR     a=F16B d=F3 slot=D4 n=12
  6462 M1     a=F379 d=00 slot=D4 n=15
  6492 M1     a=F37A d=FF slot=D4 n=15
  6534 MW     a=F16B d=F3 slot=D4 n=6
  6552 MW     a=F16A d=7B slot=D4 n=6
  6564 M1     a=0038 d=C3 slot=D4 n=15
  6594 MR     a=0039 d=3C slot=D4 n=12
  6612 MR     a=003A d=0C slot=D4 n=12
  6630 M1     a=0C3C d=E5 slot=D4 n=15
  6672 MW     a=F169 d=01 slot=D4 n=6
  6690 MW     a=F168 d=83 slot=D4 n=6
  6702 M1     a=0C3D d=D5 slot=D4 n=15
  6744 MW     a=F167 d=98 slot=D4 n=6
  6762 MW     a=F166 d=5C slot=D4 n=6
  6774 M1     a=0C3E d=C5 slot=D4 n=15
  6816 MW     a=F165 d=00 slot=D4 n=6
  6834 MW     a=F164 d=00 slot=D4 n=6
  6846 M1     a=0C3F d=F5 slot=D4 n=15
  6888 MW     a=F163 d=01 slot=D4 n=6
  6906 MW     a=F162 d=00 slot=D4 n=6
  6918 M1     a=0C40 d=D9 slot=D4 n=15
  6948 M1     a=0C41 d=08 slot=D4 n=15
  6978 M1     a=0C42 d=E5 slot=D4 n=15
  7020 MW     a=F161 d=55 slot=D4 n=6
  7038 MW     a=F160 d=36 slot=D4 n=6
  7050 M1     a=0C43 d=D5 slot=D4 n=15
  7092 MW     a=F15F d=55 slot=D4 n=6
  7110 MW     a=F15E d=27 slot=D4 n=6
  7122 M1     a=0C44 d=C5 slot=D4 n=15
  7164 MW     a=F15D d=5F slot=D4 n=6
  7182 MW     a=F15C d=10 slot=D4 n=6
  7194 M1     a=0C45 d=F5 slot=D4 n=15
  7236 MW     a=F15B d=98 slot=D4 n=6
  7254 MW     a=F15A d=44 slot=D4 n=6
  7266 M1     a=0C46 d=FD slot=D4 n=15
  7296 M1     a=0C47 d=E5 slot=D4 n=15
  7338 MW     a=F159 d=01 slot=D4 n=6
  7356 MW     a=F158 d=A8 slot=D4 n=6
  7368 M1     a=0C48 d=DD slot=D4 n=15
  7398 M1     a=0C49 d=E5 slot=D4 n=15
  7440 MW     a=F157 d=E0 slot=D4 n=6
  7458 MW     a=F156 d=00 slot=D4 n=6
  7470 M1     a=0C4A d=CD slot=D4 n=15
  7500 MR     a=0C4B d=9A slot=D4 n=12
  7518 MR     a=0C4C d=FD slot=D4 n=12
  7548 MW     a=F155 d=0C slot=D4 n=6
  7566 MW     a=F154 d=4D slot=D4 n=6
  7578 M1     a=FD9A d=C9 slot=D4 n=15
  7608 MR     a=F154 d=4D slot=D4 n=12
  7626 MR     a=F155 d=0C slot=D4 n=12
  7644 M1     a=0C4D d=CD slot=D4 n=15
  7674 MR     a=0C4E d=79 slot=D4 n=12
  7692 MR     a=0C4F d=14 slot=D4 n=12
  7722 MW     a=F155 d=0C slot=D4 n=6
  7740 MW     a=F154 d=50 slot=D4 n=6
  7752 M1     a=1479 d=DB slot=D4 n=15
  7782 MR     a=147A d=BA slot=D4 n=12
  7803 IOR    a=98BA d=FF slot=D4 n=15
  7824 M1     a=147B d=E6 slot=D4 n=15
  7854 MR     a=147C d=10 slot=D4 n=12
  7872 M1     a=147D d=20 slot=D4 n=15
  7902 MR     a=147E d=0D slot=D4 n=12
  7950 M1     a=148C d=DB slot=D4 n=15
  7980 MR     a=148D d=99 slot=D4 n=12
  8001 IOR    a=1099 d=1F slot=D4 n=15
  8022 M1     a=148E d=A7 slot=D4 n=15
  8052 M1     a=148F d=C9 slot=D4 n=15
  8082 MR     a=F154 d=50 slot=D4 n=12
  8100 MR     a=F155 d=0C slot=D4 n=12
  8118 M1     a=0C50 d=F2 slot=D4 n=15
